Name,coordinates,FEATUREID,ΚΩΔΙΚΟΣ ΓΡΑΜΜΗΣ,DXF_LAYER,DESCRIPTION_GR,DESCRIPTION_EN
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35737605400004,35.15710785000005,0 33.35727395300006,35.15713151700004,0 33.35705172800004,35.15722149800007,0 33.35707055300003,35.15729407800006,0</coordinates></LinearString></MultiGeometry>",55,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35707055300003,35.15729407800006,0 33.35694654000002,35.15741452600003,0</coordinates></LinearString></MultiGeometry>",56,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35777269700003,35.15623477900004,0 33.35776636100007,35.15623268200005,0</coordinates></LinearString></MultiGeometry>",57,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35732294000007,35.15863489700007,0 33.35724431800003,35.15889724200008,0</coordinates></LinearString></MultiGeometry>",58,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35732294000007,35.15863489700007,0 33.35735140300005,35.15853991800003,0</coordinates></LinearString></MultiGeometry>",59,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNNO,"<MultiGeometry><LinearString><coordinates> 33.35674721800007,35.15925472000004,0 33.35676535200003,35.15931902500006,0</coordinates></LinearString></MultiGeometry>",60,1233,TLFNNO,Περίφραξη  (χωρίς σύμβολο),Fence (No Conv. Sign)
TLDASH,"<MultiGeometry><LinearString><coordinates> 33.36295320300008,35.16427519100006,0 33.36323101500005,35.16431406900006,0</coordinates></LinearString></MultiGeometry>",61,1406,TLDASH,Διακεκομμένη γραμμή  που  δεν  είναί δρόμος,Topo Dashed Line (Not Roads)
TLWLNO,"<MultiGeometry><LinearString><coordinates> 33.36218002500004,35.16404197700007,0 33.36217238300003,35.16405385800005,0 33.36219152300004,35.16406316700005,0 33.36219995400006,35.16405162300003,0</coordinates></LinearString></MultiGeometry>",62,1237,TLWLNO,Περιτοίχισμα  (χωρίς σύμβολο),Wall (No Conv. Sign)
TLDASH,"<MultiGeometry><LinearString><coordinates> 33.36419267100007,35.16380359100003,0 33.36434570300003,35.16389521200006,0</coordinates></LinearString></MultiGeometry>",63,1406,TLDASH,Διακεκομμένη γραμμή  που  δεν  είναί δρόμος,Topo Dashed Line (Not Roads)
TLDASH,"<MultiGeometry><LinearString><coordinates> 33.36416542900003,35.16380360200003,0 33.36433560300003,35.16390715800003,0</coordinates></LinearString></MultiGeometry>",64,1406,TLDASH,Διακεκομμένη γραμμή  που  δεν  είναί δρόμος,Topo Dashed Line (Not Roads)
