Name,coordinates,FEATUREID,SBPI_ID_NO,ΚΩΔΙΚΟΣ ΕΠΑΡΧΙΑΣ,ΚΩΔΙΚΟΣ ΔΗΜΟΥ_ΚΟΙΝΟΤΗΤΑΣ,ΚΩΔΙΚΟΣ ΕΝΟΡΙΑΣ,ΚΩΔΙΚΟΣ ΤΜΗΜΑΤΟΣ,ΦΥΛΛΟ,ΣΧΕΔΙΟ,ΑΡΙΘΜΟΣ ΤΕΜΑΧΙΟΥ,SRC_SL_CODE,ΠΗΓΗ,ΕΜΒΑΔΟ ΤΕΜΑΧΙΟΥ
540402," 33.35290065200007,35.15935287000008,0 33.35290101300006,35.15935434700003,0 33.35290134100006,35.15935582700007,0 33.35290163800005,35.15935731300004,0 33.35290190200004,35.15935880300003,0 33.35290213600007,35.15936029600005,0 33.35290233700005,35.15936179300007,0 33.35290250500003,35.15936329200008,0 33.35290264300005,35.15936479300007,0 33.35290275000006,35.15936629700008,0 33.35290282300008,35.15936780100003,0 33.35290286500003,35.15936930600003,0 33.35290287500004,35.15937081100003,0 33.35290285300005,35.15937231800007,0 33.35290279900005,35.15937382200008,0 33.35290271300005,35.15937532600003,0 33.35290259400006,35.15937682800006,0 33.35290244400005,35.15937832900005,0 33.35290226300003,35.15937982700007,0 33.35290205000007,35.15938132200006,0 33.35290180500005,35.15938281500007,0 33.35290152700003,35.15938430300002,0 33.35290121700007,35.15938578700008,0 33.35290087900006,35.15938726600007,0 33.35290050700007,35.15938874000005,0 33.35290010400007,35.15939020900004,0 33.35289967000006,35.15939167200003,0 33.35289920400004,35.15939312800003,0 33.35289870900004,35.15939457800005,0 33.35289818300004,35.15939601900004,0 33.35289762500003,35.15939745500003,0 33.35289703800004,35.15939888000003,0 33.35289642000004,35.15940029700005,0 33.35289577200007,35.15940170600004,0 33.35289509500007,35.15940310500002,0 33.35289438600006,35.15940449400006,0 33.35289365000006,35.15940587300003,0 33.35289288500007,35.15940724000006,0 33.35289209000007,35.15940859800003,0 33.35289126600003,35.15940994200003,0 33.35289041400006,35.15941127500003,0 33.35288953400004,35.15941259600004,0 33.35288862600004,35.15941390400008,0 33.35288769100004,35.15941519900008,0 33.35288672700006,35.15941648000006,0 33.35288573700007,35.15941774700008,0 33.35288472000008,35.15941900000007,0 33.35288367600003,35.15942023800005,0 33.35288260600004,35.15942146100008,0 33.35288151100008,35.15942266700006,0 33.35288039100004,35.15942385800003,0 33.35287924300008,35.15942503400004,0 33.35287807300006,35.15942619300006,0 33.35287687800008,35.15942733400004,0 33.35287565800007,35.15942845800004,0 33.35287441600008,35.15942956500004,0 33.35287315000005,35.15943065300007,0 33.35287186000005,35.15943172500005,0 33.35287054900005,35.15943277600007,0 33.35286921400007,35.15943380800007,0 33.35286786000006,35.15943482200004,0 33.35286648100004,35.15943581400006,0 33.35286508300004,35.15943678900004,0 33.35286365500008,35.15943774900006,0 33.35255036600006,35.15963492900005,0 33.35247064800007,35.15968523700008,0 33.35234142400003,35.15925947100004,0 33.35236708600007,35.15922689100006,0 33.35238901900004,35.15920511900004,0 33.35241656400007,35.15918292600003,0 33.35246920900005,35.15914665100007,0 33.35266359200006,35.15900373600005,0 33.35266506700003,35.15900286700003,0 33.35266656000005,35.15900202000006,0 33.35266807100004,35.15900119200006,0 33.35266959900002,35.15900038800004,0 33.35267114400006,35.15899960600007,0 33.35267270500003,35.15899884600003,0 33.35267428200007,35.15899810800005,0 33.35267587400006,35.15899739300005,0 33.35267748100006,35.15899670000005,0 33.35267910400006,35.15899603200006,0 33.35268074000004,35.15899538600007,0 33.35268238900005,35.15899476300007,0 33.35268405100004,35.15899416600007,0 33.35268572600006,35.15899359200006,0 33.35268741300007,35.15899304200008,0 33.35268911100008,35.15899251500008,0 33.35269082000008,35.15899201300005,0 33.35269254000008,35.15899153700008,0 33.35269426900004,35.15899108500003,0 33.35269600800007,35.15899065700006,0 33.35269775600006,35.15899025400006,0 33.35269951100003,35.15898987800006,0 33.35270127500007,35.15898952500004,0 33.35270304600005,35.15898919800003,0 33.35270482300007,35.15898889700003,0 33.35270660900005,35.15898862100005,0 33.35270839800006,35.15898837000003,0 33.35271019100003,35.15898814700006,0 33.35271198900006,35.15898794700007,0 33.35271379300008,35.15898777400003,0 33.35271559900008,35.15898762700005,0 33.35271740900004,35.15898750500003,0 33.35271921900005,35.15898741000007,0 33.35272103300008,35.15898734100006,0 33.35272284700005,35.15898729800006,0 33.35272466200007,35.15898728100007,0 33.35272647700003,35.15898729000003,0 33.35272829200005,35.15898732300008,0 33.35273010400005,35.15898738500005,0 33.35273191500005,35.15898747200004,0 33.35273372600005,35.15898758400005,0 33.35273553300004,35.15898772300005,0 33.35273733800005,35.15898788700008,0 33.35273913800006,35.15898807800005,0 33.35274093400005,35.15898829400004,0 33.35274272400005,35.15898853600004,0 33.35274451000004,35.15898880300006,0 33.35274628900004,35.15898909600003,0 33.35274806300004,35.15898941400008,0 33.35274982800007,35.15898975800008,0 33.35275158700006,35.15899012600005,0 33.35275333900006,35.15899052100008,0 33.35275508000007,35.15899094000002,0 33.35275681300004,35.15899138400005,0 33.35275853500008,35.15899185300003,0 33.35276024700005,35.15899234600005,0 33.35276194900007,35.15899286500007,0 33.35276364100002,35.15899340700003,0 33.35276531800002,35.15899397300007,0 33.35276698500007,35.15899456400007,0 33.35276864000008,35.15899517800006,0 33.35277028000007,35.15899581600007,0 33.35277190600004,35.15899647700007,0 33.35277351900004,35.15899716200005,0 33.35277511700008,35.15899786800003,0 33.35277669900006,35.15899859900003,0 33.35277826500004,35.15899935200002,0 33.35277981600007,35.15900012700007,0 33.35278134900005,35.15900092400005,0 33.35278286500005,35.15900174300003,0 33.35278436400006,35.15900258400006,0 33.35278584400004,35.15900344600004,0 33.35278730600004,35.15900432900003,0 33.35278874900007,35.15900523300007,0 33.35279017400006,35.15900615800007,0 33.35279157800005,35.15900710300008,0 33.35279296200002,35.15900806700006,0 33.35279432400006,35.15900905200004,0 33.35279566600008,35.15901005500007,0 33.35279698600004,35.15901107800005,0 33.35279828400007,35.15901212100005,0 33.35279956100004,35.15901318000005,0 33.35280081400003,35.15901425800007,0 33.35280204300005,35.15901535500007,0 33.35280325000008,35.15901646800006,0 33.35280443400006,35.15901759900004,0 33.35280559100005,35.15901874600007,0 33.35280672500005,35.15901991000004,0 33.35280783400003,35.15902109000007,0 33.35280891800005,35.15902228500005,0 33.35280997700005,35.15902349600003,0 33.35281101000004,35.15902472300007,0 33.35281201500004,35.15902596300003,0 33.35281299500008,35.15902721800006,0 33.35281394800006,35.15902848800005,0 33.35281487300006,35.15902976900003,0 33.35281577100005,35.15903106500008,0 33.35281664300004,35.15903237200007,0 33.35281748500006,35.15903369200004,0 33.35281829900004,35.15903502400005,0 33.35281908700006,35.15903636800005,0 33.35281984300008,35.15903772200005,0 33.35282057100005,35.15903908800004,0 33.35282127100004,35.15904046400004,0 33.35282194100006,35.15904184900006,0 33.35282258300003,35.15904324300004,0 33.35282319200007,35.15904464600004,0 33.35282377200008,35.15904605900005,0 33.35282432400004,35.15904747900004,0 33.35282484500004,35.15904890800005,0 33.35282533500003,35.15905034200006,0 33.35282579500006,35.15905178400004,0 33.35282622300008,35.15905323200008,0 33.35282674000007,35.15905514700006,0 33.35290065200007,35.15935287000008,0",11,376650,1,0,16,1,21,540402,945,2,DCDB,2400
540402," 33.35096375200004,35.15946776800007,0 33.35099312900007,35.15945558600004,0 33.35117472200005,35.15938027700003,0 33.35128978600005,35.15954059400008,0 33.35125646100005,35.15959684000006,0 33.35104017200007,35.15962988900003,0 33.35089826200004,35.15965157300008,0 33.35083156400003,35.15952258700003,0 33.35091828100008,35.15948662500006,0 33.35095181100007,35.15947271900006,0 33.35096375200004,35.15946776800007,0",12,374766,1,0,16,1,21,540402,803,2,DCDB,759
540402," 33.35058991900007,35.15950667400006,0 33.35058400500003,35.15940675800005,0 33.35071653100005,35.15939745500003,0 33.35075088700006,35.15939564000007,0 33.35080839000005,35.15936167900003,0 33.35091828100008,35.15948662500006,0 33.35083156400003,35.15952258700003,0 33.35079981900003,35.15953578200003,0 33.35057637700004,35.15962555800007,0 33.35054529300004,35.15953281100008,0 33.35056510300007,35.15953200300004,0 33.35059135500006,35.15953093200005,0 33.35058991900007,35.15950667400006,0",13,374660,1,0,16,1,21,540402,779,2,DCDB,512
540402," 33.35146575100004,35.15928906700003,0 33.35153327200004,35.15927169900004,0 33.35160734100003,35.15936956800005,0 33.35162822800004,35.15939717000003,0 33.35171937900003,35.15951761300005,0 33.35174137100006,35.15954667200003,0 33.35145725200005,35.15959023000005,0 33.35145543100003,35.15959063300005,0 33.35145359400008,35.15959098200005,0 33.35145174500008,35.15959127900004,0 33.35144988400003,35.15959152200003,0 33.35144801300004,35.15959171300005,0 33.35144613400007,35.15959184900004,0 33.35144425200008,35.15959193200007,0 33.35144236800005,35.15959196000006,0 33.35144048400008,35.15959193600003,0 33.35143860200003,35.15959185600008,0 33.35143672400005,35.15959172200007,0 33.35143485200007,35.15959153500006,0 33.35143299000004,35.15959129500004,0 33.35143114000005,35.15959100000003,0 33.35142930300003,35.15959065400006,0 33.35142748100003,35.15959025500007,0 33.35142567800006,35.15958980400006,0 33.35142389500004,35.15958930200003,0 33.35142213500006,35.15958874900008,0 33.35142039900006,35.15958814500004,0 33.35141869000006,35.15958749200007,0 33.35141700900005,35.15958679000005,0 33.35141536000003,35.15958604300005,0 33.35141374300002,35.15958524700005,0 33.35141216100004,35.15958440400004,0 33.35141061600007,35.15958351800003,0 33.35140910900003,35.15958258800004,0 33.35140764300007,35.15958161500004,0 33.35140622000006,35.15958060100007,0 33.35140484000004,35.15957954600003,0 33.35140350600005,35.15957845300005,0 33.35140221800003,35.15957732100003,0 33.35140098100004,35.15957615500003,0 33.35139979300004,35.15957495200007,0 33.35139865600007,35.15957371800005,0 33.35139700300005,35.15957174200003,0 33.35125094900008,35.15934431300008,0 33.35146575100004,35.15928906700003,0",14,374155,1,0,16,1,21,540402,281,2,DCDB,911
540402," 33.34989479400008,35.15943053500007,0 33.34995998600004,35.15943218800004,0 33.35015136100003,35.15943703700003,0 33.35014669900005,35.15946859200005,0 33.35013884600005,35.15952979400004,0 33.35013463900003,35.15956482700005,0 33.34988446200003,35.15955921700004,0 33.34982513100005,35.15955788800005,0 33.34982574100008,35.15952846400006,0 33.34982670000005,35.15948213200005,0 33.34982780400003,35.15942883800005,0 33.34989479400008,35.15943053500007,0",15,374664,1,0,16,1,21,540402,806,2,DCDB,406
540402," 33.35080839000005,35.15936167900003,0 33.35104056800003,35.15922455500004,0 33.35117472200005,35.15938027700003,0 33.35099312900007,35.15945558600004,0 33.35096375200004,35.15946776800007,0 33.35095181100007,35.15947271900006,0 33.35091828100008,35.15948662500006,0 33.35080839000005,35.15936167900003,0",16,374663,1,0,16,1,21,540402,780,2,DCDB,512
540402," 33.35034294900004,35.15914754100004,0 33.35035362500003,35.15914686500003,0 33.35057855900004,35.15913264800003,0 33.35060977000006,35.15913067400004,0 33.35071232200005,35.15912419200004,0 33.35071334000003,35.15919027900003,0 33.35071653100005,35.15939745500003,0 33.35058400500003,35.15940675800005,0 33.35038192400003,35.15941920700004,0 33.35031075700005,35.15942358900003,0 33.35029779300004,35.15942438800005,0 33.35028897400008,35.15942493200004,0 33.35026863400003,35.15942618500003,0 33.35027682900005,35.15938310900003,0 33.35029757500007,35.15930383700004,0 33.35031080600004,35.15930552600003,0 33.35034294900004,35.15914754100004,0",17,374116,1,0,16,1,21,540402,234,2,DCDB,1131
540402," 33.35104056800003,35.15922455500004,0 33.35080839000005,35.15936167900003,0 33.35075088700006,35.15939564000007,0 33.35071653100005,35.15939745500003,0 33.35071334000003,35.15919027900003,0 33.35091397900004,35.15907761200003,0 33.35104056800003,35.15922455500004,0",18,374524,1,0,16,1,21,540402,568,2,DCDB,591
540402," 33.35135590300007,35.15902961400008,0 33.35142051200006,35.15911779700008,0 33.35151525200007,35.15924710300004,0 33.35153327200004,35.15927169900004,0 33.35146575100004,35.15928906700003,0 33.35125094900008,35.15934431300008,0 33.35108845900004,35.15915190600003,0 33.35128679100006,35.15903814900003,0 33.35135022400004,35.15900176500003,0 33.35135590300007,35.15902961400008,0",19,376041,1,0,16,1,21,540402,901,2,DCDB,884
540501," 33.35321747600005,35.15893037800004,0 33.35322549300003,35.15894115700007,0 33.35336082100002,35.15912309000004,0 33.35317318600005,35.15928539000004,0 33.35309149700004,35.15925122900006,0 33.35309018400005,35.15925067900002,0 33.35304409000003,35.15909385100008,0 33.35307038500002,35.15906839100006,0 33.35309140400005,35.15904804000007,0 33.35321558700008,35.15892783700008,0 33.35321747600005,35.15893037800004,0",20,374655,1,0,16,1,21,540501,753,2,DCDB,625
