Name,coordinates,FEATUREID,ΚΩΔΙΚΟΣ ΚΤΗΡΙΟΥ,ΚΩΔΙΚΟΣ ΥΨΟΥΣ ΚΤΗΡΙΟΥ,DXF_LAYER,Περιγραφή Κτηρίου,SYMBOL
BLDGGF," 33.36982733400004,35.16071444300007,0 33.36962647700005,35.16074791700004,0 33.36961214300004,35.16068956500004,0 33.36958760000005,35.16069440500007,0 33.36956190400008,35.16059167400005,0 33.36966704900004,35.16057512000003,0 33.36968386200005,35.16063422200006,0 33.36972026700005,35.16062751200008,0 33.36970594100006,35.16056838700007,0 33.36981159200008,35.16055236400007,0 33.36983931900005,35.16065647700003,0 33.36981376100005,35.16066129200004,0 33.36982733400004,35.16071444300007,0",21,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36715686900004,35.16065726100004,0 33.36724374400006,35.16053445700004,0 33.36729039900007,35.16055707000004,0 33.36727681100007,35.16058007100003,0 33.36732857800007,35.16060242800006,0 33.36726102800003,35.16070333400006,0 33.36715686900004,35.16065726100004,0",22,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36681952000004,35.16060463700006,0 33.36670031200004,35.16069814700006,0 33.36666012800004,35.16065917500004,0 33.36666970200002,35.16065164300005,0 33.36663895300006,35.16062284800006,0 33.36662818300005,35.16062989200003,0 33.36659324000004,35.16059569900006,0 33.36662935600003,35.16056926600004,0 33.36662195300005,35.16056098200005,0 33.36665649200006,35.16053936000003,0 33.36664003900006,35.16052285700005,0 33.36669498700007,35.16048386300002,0 33.36681952000004,35.16060463700006,0",23,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36609297600006,35.16060114700008,0 33.36595155100002,35.16069477300005,0 33.36585392400008,35.16059751700004,0 33.36586567100005,35.16059108900004,0 33.36582593100007,35.16055049900007,0 33.36584305900004,35.16053924700003,0 33.36583324800006,35.16053000400007,0 33.36589882200008,35.16048540100007,0 33.36591010300003,35.16049464500003,0 33.36592331300005,35.16048460000008,0 33.36594244600008,35.16050348800007,0 33.36597670100008,35.16048058500007,0 33.36609297600006,35.16060114700008,0",24,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36114802200007,35.16055883300004,0 33.36125245300008,35.16048715000005,0 33.36126563700003,35.16050203200007,0 33.36127593000003,35.16049602800007,0 33.36136678700007,35.16058453900007,0 33.36135698500004,35.16059054300007,0 33.36138482700005,35.16061870500005,0 33.36126961800005,35.16069519000007,0 33.36123987500002,35.16066305600003,0 33.36123295600004,35.16067102800002,0 33.36118508800007,35.16062194900007,0 33.36119979600005,35.16061193600007,0 33.36114802200007,35.16055883300004,0",25,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36367373400003,35.16054123700008,0 33.36371630600007,35.16050948700007,0 33.36370796300002,35.16049984200004,0 33.36373438800007,35.16048215700005,0 33.36374224000008,35.16048939000007,0 33.36380389700003,35.16044477900005,0 33.36382106800005,35.16045924700006,0 33.36382547300008,35.16045683500005,0 33.36384657200006,35.16047491900008,0 33.36384314900005,35.16047934000005,0 33.36386031800004,35.16049260100004,0 33.36380551700006,35.16053480100004,0 33.36382513900003,35.16054966900003,0 33.36387798300007,35.16050907600004,0 33.36389466400004,35.16052314200005,0 33.36389858200005,35.16052193600007,0 33.36391967900005,35.16053961700004,0 33.36391478400003,35.16054283300008,0 33.36393244800007,35.16055890700005,0 33.36387911500003,35.16059909700005,0 33.36390364800008,35.16062240600007,0 33.36382731300006,35.16067786800005,0 33.36382584000006,35.16067626200004,0 33.36381556500004,35.16068470200003,0 33.36379152400008,35.16066380500007,0 33.36380081900006,35.16065576700004,0 33.36379640400003,35.16065215000003,0 33.36378808700005,35.16065938500003,0 33.36376502700006,35.16063929200004,0 33.36377432500007,35.16063286100007,0 33.36377088900008,35.16062884300004,0 33.36376207900003,35.16063487100007,0 33.36374049300008,35.16061759100006,0 33.36375027900004,35.16060955400008,0 33.36372427200007,35.16058624600004,0 33.36371448600005,35.16059348000005,0 33.36369290000005,35.16057579800003,0 33.36370415600004,35.16056816200006,0 33.36367373400003,35.16054123700008,0",26,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35871976700003,35.16064416000006,0 33.35862688500004,35.16066028800003,0 33.35862479800005,35.16065106600007,0 33.35857589100004,35.16065794700006,0 33.35856911300004,35.16062827600007,0 33.35855295500005,35.16062922800006,0 33.35853465900004,35.16054582400005,0 33.35852878500003,35.16054628000006,0 33.35852405100007,35.16052261800007,0 33.35852845000005,35.16052177400007,0 33.35851536800004,35.16046122500006,0 33.35868161000008,35.16043518600003,0 33.35869632300006,35.16050736800003,0 33.35868948100006,35.16050863800007,0 33.35869159600003,35.16051986700006,0 33.35869949600004,35.16052421300003,0 33.35870732400008,35.16055909600004,0 33.35870251000006,35.16056516700007,0 33.35870622700003,35.16058602700008,0 33.35871461000005,35.16058996700008,0 33.35872148900006,35.16062686800007,0 33.35871713400007,35.16063092500008,0 33.35871976700003,35.16064416000006,0",27,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36462930600004,35.16063680500002,0 33.36462729100003,35.16059582300005,0 33.36457578000005,35.16054436800005,0 33.36462907200007,35.16050298500005,0 33.36463269100005,35.16056446500005,0 33.36464159200006,35.16063882400005,0 33.36462930600004,35.16063680500002,0",28,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36324776400005,35.16040583000006,0 33.36335323300006,35.16049709200007,0 33.36332777600006,35.16051517400007,0 33.36336211400004,35.16054452100008,0 33.36326224700008,35.16061845700006,0 33.36312831700008,35.16049704400007,0 33.36324776400005,35.16040583000006,0",29,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36138051000006,35.16055192000005,0 33.36140752800003,35.16053361800005,0 33.36144415800004,35.16057223400003,0 33.36146817500003,35.16055742200007,0 33.36149348200007,35.16058288900007,0 33.36144334000005,35.16061617400004,0 33.36138051000006,35.16055192000005,0",30,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36951678500003,35.16058468600005,0 33.36951429200008,35.16057664500005,0 33.36951250400006,35.16057087600007,0 33.36950112800002,35.16053418500007,0 33.36956450700006,35.16052259000003,0 33.36957258500007,35.16054721000006,0 33.36954073700008,35.16055337800003,0 33.36954879300004,35.16057909200004,0 33.36951678500003,35.16058468600005,0",31,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36782953500006,35.16057524600006,0 33.36778100900006,35.16055818500007,0 33.36779780600006,35.16052608600006,0 33.36784460000007,35.16054201500003,0 33.36782953500006,35.16057524600006,0",32,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36982728400005,35.16047451900005,0 33.36984141800008,35.16052805400005,0 33.36980508400006,35.16053336200002,0 33.36979751200005,35.16050684300006,0 33.36976615600003,35.16051300900006,0 33.36976050800007,35.16048673400007,0 33.36982728400005,35.16047451900005,0",33,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36306735000005,35.16050477600004,0 33.36309370000004,35.16048555500004,0 33.36313177900007,35.16052075900007,0 33.36310654000005,35.16054010400006,0 33.36306735000005,35.16050477600004,0",34,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35213436100003,35.16033750100007,0 33.35210176200008,35.16022953400005,0 33.35217568900004,35.16021458600005,0 33.35218556700005,35.16024533200005,0 33.35219788900002,35.16024277200006,0 33.35222155400004,35.16032121900003,0 33.35213436100003,35.16033750100007,0",35,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35129077600004,35.16015020300006,0 33.35128215300006,35.16007453300006,0 33.35128045900007,35.16005966900008,0 33.35132919800003,35.16005631800005,0 33.35133937700005,35.16012895500006,0 33.35132218800004,35.16013051500005,0 33.35132616800007,35.16018202500004,0 33.35133387600007,35.16028177100003,0 33.35135739700007,35.16028135800008,0 33.35136242600004,35.16031799700005,0 33.35131053100002,35.16032319700003,0 33.35130556800004,35.16027973200005,0 33.35129441000004,35.16018203400006,0 33.35129077600004,35.16015020300006,0",36,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35010184800007,35.16029743100006,0 33.35006751500004,35.16024050800007,0 33.35016863500005,35.16019820900004,0 33.35021469000003,35.16026591000008,0 33.35011264500002,35.16031571700006,0 33.35010184800007,35.16029743100006,0",37,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35129441000004,35.16018203400006,0 33.35130556800004,35.16027973200005,0 33.35119228700006,35.16028900900005,0 33.35118004100008,35.16021739300004,0 33.35120388500008,35.16021691900005,0 33.35119995000008,35.16018206300004,0 33.35119832200007,35.16016763100004,0 33.35117230200007,35.16017213700008,0 33.35116964600007,35.16015660200003,0 33.35116050000005,35.16010311300005,0 33.35116003400003,35.16009544800005,0 33.35126538700007,35.16008717500006,0 33.35127448400004,35.16015133600007,0 33.35129077600004,35.16015020300006,0 33.35129441000004,35.16018203400006,0",38,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35090481200007,35.16021558500006,0 33.35095997100007,35.16018213300004,0 33.35097954800006,35.16017070400005,0 33.35099019400008,35.16018212500006,0 33.35101032500006,35.16020332100004,0 33.35104279200004,35.16023750400007,0 33.35103992300003,35.16024113200007,0 33.35095973000006,35.16028806800006,0 33.35094161200004,35.16026861700004,0 33.35089733600006,35.16022108400006,0 33.35090481200007,35.16021558500006,0",39,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35254918800007,35.16018165400004,0 33.35254147800004,35.16016148500006,0 33.35254590800003,35.16016030100008,0 33.35253486100004,35.16012634700007,0 33.35258308600004,35.16011614400003,0 33.35257685400006,35.16009553000004,0 33.35262017100007,35.16008449100008,0 33.35265384200005,35.16018162200004,0 33.35267851500004,35.16024852900006,0 33.35257683700007,35.16026974200003,0 33.35254918800007,35.16018165400004,0",40,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35176338100007,35.16021601500006,0 33.35177226100007,35.16024904100004,0 33.35173831100008,35.16025411100003,0 33.35172963700006,35.16022267000005,0 33.35176338100007,35.16021601500006,0",41,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35138607300007,35.16018200700006,0 33.35136902900007,35.16005358000007,0 33.35141554600006,35.16005038100008,0 33.35143226600007,35.16018199400003,0 33.35143936400004,35.16023786500006,0 33.35139406300004,35.16024219700006,0 33.35138607300007,35.16018200700006,0",42,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35272477100006,35.16018160000004,0 33.35267658000004,35.16004293300006,0 33.35277910600007,35.16002356800004,0 33.35283509500005,35.16018156600006,0 33.35284712000004,35.16021549600004,0 33.35274312300004,35.16023440500004,0 33.35272477100006,35.16018160000004,0",43,1301,2,BLDGGF,Ισόγειο Κτίριο,24
